total_landmarks,elapsed_time
2.000000000000000000e+00,4.763603210449218750e-04
2.000000000000000000e+00,4.663467407226562500e-04
2.000000000000000000e+00,7.066726684570312500e-04
2.000000000000000000e+00,5.750656127929687500e-04
2.000000000000000000e+00,6.616115570068359375e-04
2.000000000000000000e+00,6.353855133056640625e-04
2.000000000000000000e+00,4.591941833496093750e-04
2.000000000000000000e+00,4.515647888183593750e-04
2.000000000000000000e+00,5.702972412109375000e-04
2.000000000000000000e+00,4.434585571289062500e-04
2.000000000000000000e+00,4.692077636718750000e-04
2.000000000000000000e+00,4.506111145019531250e-04
2.000000000000000000e+00,4.665851593017578125e-04
2.000000000000000000e+00,4.761219024658203125e-04
2.000000000000000000e+00,5.288124084472656250e-04
2.000000000000000000e+00,4.940032958984375000e-04
2.000000000000000000e+00,4.775524139404296875e-04
2.000000000000000000e+00,4.439353942871093750e-04
2.000000000000000000e+00,4.446506500244140625e-04
2.000000000000000000e+00,5.564689636230468750e-04
2.000000000000000000e+00,4.563331604003906250e-04
2.000000000000000000e+00,4.611015319824218750e-04
2.000000000000000000e+00,4.777908325195312500e-04
2.000000000000000000e+00,4.570484161376953125e-04
2.000000000000000000e+00,4.849433898925781250e-04
2.000000000000000000e+00,4.622936248779296875e-04
2.000000000000000000e+00,4.663467407226562500e-04
2.000000000000000000e+00,4.572868347167968750e-04
3.000000000000000000e+00,5.624294281005859375e-04
4.000000000000000000e+00,6.427764892578125000e-04
4.000000000000000000e+00,6.718635559082031250e-04
4.000000000000000000e+00,6.787776947021484375e-04
4.000000000000000000e+00,6.997585296630859375e-04
4.000000000000000000e+00,6.957054138183593750e-04
5.000000000000000000e+00,8.118152618408203125e-04
5.000000000000000000e+00,7.851123809814453125e-04
5.000000000000000000e+00,8.041858673095703125e-04
5.000000000000000000e+00,8.394718170166015625e-04
5.000000000000000000e+00,8.234977722167968750e-04
6.000000000000000000e+00,1.162528991699218750e-03
6.000000000000000000e+00,8.955001831054687500e-04
6.000000000000000000e+00,9.069442749023437500e-04
6.000000000000000000e+00,9.047985076904296875e-04
6.000000000000000000e+00,9.088516235351562500e-04
6.000000000000000000e+00,9.164810180664062500e-04
6.000000000000000000e+00,8.821487426757812500e-04
